ID,Ethnicity
1,White 
2,Chinese (including Hong Kong and Macau)
3,White 
4,Chinese (including Hong Kong and Macau)
5,Chinese (including Hong Kong and Macau)
6,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
7,Chinese (including Hong Kong and Macau)
8,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
9,Korean
10,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) ,White "
11,Chinese (including Hong Kong and Macau)
12,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
13,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
14,"Indigenous person of Canada (First Nations, Inuit, Métis),South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) ,West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:,White "
15,Chinese (including Hong Kong and Macau)
16,Chinese (including Hong Kong and Macau)
17,White 
18,White 
19,"Chinese (including Hong Kong and Macau),White "
20,Chinese (including Hong Kong and Macau)
21,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
22,White 
23,Chinese (including Hong Kong and Macau)
24,"Indigenous (outside of Canada),Latin, Central, or South American (e.g. Brazilian, Chilean, Colombian, Mexican) ,White "
25,Chinese (including Hong Kong and Macau)
26,White 
27,Chinese (including Hong Kong and Macau)
28,Chinese (including Hong Kong and Macau)
29,Chinese (including Hong Kong and Macau)
30,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
31,Chinese (including Hong Kong and Macau)
32,White 
33,
34,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
35,Prefer not to answer
36,White 
37,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
38,
39,Korean
40,Chinese (including Hong Kong and Macau)
41,Chinese (including Hong Kong and Macau)
42,Prefer not to answer
43,White 
44,Chinese (including Hong Kong and Macau)
45,Chinese (including Hong Kong and Macau)
46,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
47,White 
48,White 
49,White 
50,Chinese (including Hong Kong and Macau)
51,White 
52,White 
53,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
54,White 
55,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
56,"Chinese (including Hong Kong and Macau),White "
57,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
58,White 
59,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
60,White 
61,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
62,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) ,White "
63,Chinese (including Hong Kong and Macau)
64,White 
65,Chinese (including Hong Kong and Macau)
66,Chinese (including Hong Kong and Macau)
67,Japanese
68,Chinese (including Hong Kong and Macau)
69,"Japanese,White "
70,Chinese (including Hong Kong and Macau)
71,White 
72,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
73,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
74,White 
75,Chinese (including Hong Kong and Macau)
76,White 
77,Chinese (including Hong Kong and Macau)
78,Chinese (including Hong Kong and Macau)
79,White 
80,Chinese (including Hong Kong and Macau)
81,"Japanese,White "
82,"Chinese (including Hong Kong and Macau),West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
83,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
84,Chinese (including Hong Kong and Macau)
85,Arab 
86,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
87,"Chinese (including Hong Kong and Macau),Korean"
88,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
89,Chinese (including Hong Kong and Macau)
90,White 
91,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
92,White 
93,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
94,Chinese (including Hong Kong and Macau)
95,"Chinese (including Hong Kong and Macau),Filipino"
96,"Indigenous person of Canada (First Nations, Inuit, Métis),White "
97,White 
98,Chinese (including Hong Kong and Macau)
99,White 
100,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
101,Korean
102,Prefer not to answer
103,"Filipino,Prefer not to answer"
104,Chinese (including Hong Kong and Macau)
105,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
106,Korean
107,White 
108,Korean
109,Chinese (including Hong Kong and Macau)
110,Chinese (including Hong Kong and Macau)
111,Korean
112,Chinese (including Hong Kong and Macau)
113,Filipino
114,Filipino
115,Chinese (including Hong Kong and Macau)
116,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
117,Chinese (including Hong Kong and Macau)
118,Prefer not to answer
119,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
120,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
121,Filipino
122,Chinese (including Hong Kong and Macau)
123,Chinese (including Hong Kong and Macau)
124,Black 
125,Korean
126,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
127,White 
128,White 
129,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
130,"Chinese (including Hong Kong and Macau),White "
131,White 
132,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
133,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
134,Korean
135,"Indigenous person of Canada (First Nations, Inuit, Métis),White "
136,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
137,White 
138,"West Asian (e.g. Afghan, Iranian, Syrian, etc)  (optional) please specify:"
139,White 
140,White 
141,Korean
142,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
143,None of the above
144,White 
145,"Chinese (including Hong Kong and Macau),Japanese"
146,Korean
147,Chinese (including Hong Kong and Macau)
148,White 
149,White 
150,"Chinese (including Hong Kong and Macau),Korean"
151,Black 
152,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
153,White 
154,White 
155,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
156,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
157,Prefer not to answer
158,White 
159,"Chinese (including Hong Kong and Macau),Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
160,White 
161,Chinese (including Hong Kong and Macau)
162,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
163,Chinese (including Hong Kong and Macau)
164,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
165,Chinese (including Hong Kong and Macau)
166,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
167,"South Asian (e.g. Indian, Pakistani, Sri Lankan, etc.) "
168,Chinese (including Hong Kong and Macau)
169,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
170,Chinese (including Hong Kong and Macau)
171,"Southeast Asian (e.g. Cambodian, Indonesian, Laotian Vietnamese, etc) "
172,Chinese (including Hong Kong and Macau)
173,White 
174,Chinese (including Hong Kong and Macau)
175,Chinese (including Hong Kong and Macau)
176,Chinese (including Hong Kong and Macau)
177,Filipino
178,Chinese (including Hong Kong and Macau)
